file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
05_SS1-100-C#_comp_00.npz,comp,1227,189,64,189,39,9,1227,189,64,189,39,9,1227.0,1227.0,189.0,189.0
02_BN1-129-Eb_comp_00.npz,comp,300,269,471,56,50,100,525,29,243,97,8,58,300.0,525.0,56.0,97.0
02_BN1-147-Gb_comp_01.npz,comp,61,487,670,20,116,151,483,65,248,120,16,51,61.0,483.0,20.0,120.0
01_BN3-154-E_solo_01.npz,solo,225,21,46,59,5,10,225,20,46,59,5,10,225.0,225.0,59.0,59.0
03_Funk2-108-Eb_comp_00.npz,comp,640,74,75,120,10,6,640,74,75,120,10,6,640.0,640.0,120.0,120.0
03_Rock3-117-Bb_comp_01.npz,comp,611,118,236,122,22,42,674,55,173,135,9,29,611.0,674.0,122.0,135.0
03_Funk1-114-Ab_solo_00.npz,solo,144,17,25,31,2,2,144,17,25,31,2,2,144.0,144.0,31.0,31.0
01_Funk2-119-G_comp_01.npz,comp,279,73,111,66,10,20,290,47,100,67,8,19,279.0,290.0,66.0,67.0
00_Funk1-114-Ab_comp_02.npz,comp,803,197,245,142,50,44,822,169,226,145,46,41,803.0,822.0,142.0,145.0
01_Rock1-130-A_comp_02.npz,comp,860,146,73,184,21,11,860,146,73,184,21,11,860.0,860.0,184.0,184.0
04_Rock1-130-A_comp_00.npz,comp,32,472,473,0,101,103,375,107,130,76,25,27,32.0,375.0,0.0,76.0
05_BN3-154-E_comp_02.npz,comp,487,46,77,122,18,16,487,46,77,122,18,16,487.0,487.0,122.0,122.0
03_Rock1-130-A_comp_02.npz,comp,874,278,180,182,58,36,874,278,171,182,58,34,874.0,874.0,182.0,182.0
03_Funk2-108-Eb_comp_03.npz,comp,802,91,196,137,19,35,808,85,190,139,17,33,802.0,808.0,137.0,139.0
03_Jazz1-130-D_comp_01.npz,comp,246,164,158,52,32,31,335,7,69,73,2,10,246.0,335.0,52.0,73.0
04_Funk3-98-A_solo_01.npz,solo,268,40,32,42,5,5,280,28,20,44,3,3,268.0,280.0,42.0,44.0
01_Jazz3-150-C_solo_02.npz,solo,218,22,22,49,9,8,218,22,22,49,9,8,218.0,218.0,49.0,49.0
05_BN3-154-E_comp_01.npz,comp,391,76,150,113,21,24,418,25,123,116,14,21,391.0,418.0,113.0,116.0
00_Jazz2-110-Bb_solo_01.npz,solo,401,45,61,70,9,10,421,24,41,74,5,6,401.0,421.0,70.0,74.0
01_Rock1-130-A_comp_01.npz,comp,717,145,50,150,29,8,717,145,50,150,29,8,717.0,717.0,150.0,150.0
00_Funk1-114-Ab_solo_01.npz,solo,298,14,55,49,5,14,298,11,55,49,5,14,298.0,298.0,49.0,49.0
03_BN2-166-Ab_comp_00.npz,comp,167,216,276,49,49,71,310,59,133,87,8,33,167.0,310.0,49.0,87.0
03_BN2-166-Ab_comp_03.npz,comp,454,54,65,121,19,19,454,54,65,121,19,19,454.0,454.0,121.0,121.0
03_Jazz3-137-Eb_comp_00.npz,comp,411,17,71,86,5,16,411,17,71,86,5,16,411.0,411.0,86.0,86.0
03_Rock3-117-Bb_solo_01.npz,solo,389,33,64,76,4,11,395,26,51,77,3,9,389.0,395.0,76.0,77.0
02_BN1-147-Gb_solo_02.npz,solo,184,26,13,42,8,1,190,15,7,42,7,1,184.0,190.0,42.0,42.0
02_BN1-129-Eb_comp_02.npz,comp,289,239,433,69,38,81,414,106,308,89,16,61,289.0,414.0,69.0,89.0
00_Jazz2-110-Bb_solo_02.npz,solo,383,7,80,70,0,10,383,7,80,70,0,10,383.0,383.0,70.0,70.0
05_BN1-129-Eb_comp_00.npz,comp,584,47,103,113,13,22,584,47,103,113,13,22,584.0,584.0,113.0,113.0
02_BN1-129-Eb_solo_00.npz,solo,224,9,2,46,5,0,224,9,2,46,5,0,224.0,224.0,46.0,46.0
00_Jazz2-110-Bb_solo_00.npz,solo,267,87,72,49,12,13,338,16,1,61,0,1,267.0,338.0,49.0,61.0
01_BN3-154-E_comp_00.npz,comp,442,83,132,111,24,32,483,42,91,116,14,27,442.0,483.0,111.0,116.0
02_BN1-147-Gb_comp_02.npz,comp,77,578,681,20,138,159,564,91,194,139,19,40,77.0,564.0,20.0,139.0
02_Rock1-90-C#_comp_01.npz,comp,523,217,338,72,31,49,612,113,249,85,18,36,523.0,612.0,72.0,85.0
05_SS1-100-C#_comp_01.npz,comp,1058,223,131,174,43,11,1058,223,131,174,43,11,1058.0,1058.0,174.0,174.0
00_BN1-129-Eb_solo_02.npz,solo,237,113,77,45,24,19,284,60,30,55,12,9,237.0,284.0,45.0,55.0
02_BN3-154-E_solo_01.npz,solo,167,60,44,43,16,11,202,24,9,52,7,2,167.0,202.0,43.0,52.0
04_BN3-154-E_solo_01.npz,solo,138,73,71,31,21,20,187,14,22,45,6,6,138.0,187.0,31.0,45.0
04_SS1-68-E_solo_00.npz,solo,322,16,55,37,4,5,322,16,55,37,4,5,322.0,322.0,37.0,37.0
00_Funk1-114-Ab_comp_00.npz,comp,834,311,117,162,65,20,834,311,117,162,65,20,834.0,834.0,162.0,162.0
03_BN2-166-Ab_comp_01.npz,comp,401,53,68,106,13,22,401,53,68,106,13,22,401.0,401.0,106.0,106.0
01_BN3-154-E_solo_00.npz,solo,200,12,5,51,1,1,200,12,5,51,1,1,200.0,200.0,51.0,51.0
05_SS1-68-E_comp_02.npz,comp,1403,324,40,148,47,6,1403,324,40,148,47,6,1403.0,1403.0,148.0,148.0
01_BN1-129-Eb_comp_01.npz,comp,631,154,42,129,40,8,631,154,42,129,40,8,631.0,631.0,129.0,129.0
04_Rock1-130-A_solo_02.npz,solo,233,47,57,52,9,11,234,46,56,52,9,11,233.0,234.0,52.0,52.0
00_BN1-129-Eb_comp_00.npz,comp,747,109,232,155,17,51,752,103,227,155,16,51,747.0,752.0,155.0,155.0
05_BN3-154-E_solo_00.npz,solo,135,7,34,34,0,9,135,5,34,34,0,9,135.0,135.0,34.0,34.0
03_Rock3-117-Bb_comp_03.npz,comp,600,96,205,121,20,40,662,34,143,132,9,29,600.0,662.0,121.0,132.0
03_Rock1-130-A_solo_01.npz,solo,192,61,55,42,13,12,232,17,15,52,3,2,192.0,232.0,42.0,52.0
02_BN3-154-E_solo_02.npz,solo,158,101,69,36,27,22,217,26,10,49,12,9,158.0,217.0,36.0,49.0
03_BN2-166-Ab_comp_02.npz,comp,272,143,191,76,41,47,342,66,121,96,21,27,272.0,342.0,76.0,96.0
03_BN2-166-Ab_solo_03.npz,solo,156,40,45,44,11,10,172,20,24,49,5,4,156.0,172.0,44.0,49.0
04_Funk3-98-A_comp_03.npz,comp,589,195,295,97,32,36,660,112,224,107,22,26,589.0,660.0,97.0,107.0
02_BN1-129-Eb_solo_01.npz,solo,275,19,41,58,4,7,275,19,41,58,4,7,275.0,275.0,58.0,58.0
03_BN2-166-Ab_solo_00.npz,solo,137,4,13,36,1,3,137,4,13,36,1,3,137.0,137.0,36.0,36.0
01_BN1-129-Eb_comp_00.npz,comp,437,140,19,89,31,3,437,140,19,89,31,3,437.0,437.0,89.0,89.0
04_Rock1-130-A_solo_00.npz,solo,133,18,59,26,3,11,133,18,38,26,3,7,133.0,133.0,26.0,26.0
00_Rock1-130-A_comp_02.npz,comp,901,650,631,200,112,120,1243,306,289,264,48,56,901.0,1243.0,200.0,264.0
01_Rock1-130-A_solo_00.npz,solo,176,63,12,39,11,0,179,60,9,39,11,0,176.0,179.0,39.0,39.0
04_BN3-154-E_comp_01.npz,comp,118,310,363,33,78,85,124,304,357,33,78,85,118.0,124.0,33.0,33.0
01_Funk2-119-G_comp_00.npz,comp,309,106,86,63,15,21,319,96,76,65,13,19,309.0,319.0,63.0,65.0
03_Rock1-130-A_comp_00.npz,comp,383,284,227,79,52,47,432,210,178,86,39,40,383.0,432.0,79.0,86.0
05_BN1-129-Eb_comp_01.npz,comp,623,117,111,120,37,21,629,111,105,120,37,21,623.0,629.0,120.0,120.0
00_Rock1-130-A_comp_01.npz,comp,638,720,667,140,125,130,1022,243,283,207,44,63,638.0,1022.0,140.0,207.0
04_BN3-154-E_comp_00.npz,comp,306,280,234,85,64,54,313,273,227,87,62,52,306.0,313.0,85.0,87.0
05_BN3-154-E_solo_01.npz,solo,162,19,27,39,6,6,164,17,25,39,6,6,162.0,164.0,39.0,39.0
01_BN3-119-G_solo_02.npz,solo,230,43,29,45,7,3,239,27,20,47,4,1,230.0,239.0,45.0,47.0
04_Funk3-98-A_comp_01.npz,comp,671,131,154,104,17,18,671,131,154,104,17,18,671.0,671.0,104.0,104.0
03_Funk1-114-Ab_solo_01.npz,solo,195,29,15,36,8,4,202,22,8,37,7,3,195.0,202.0,36.0,37.0
00_Rock1-130-A_comp_00.npz,comp,475,1031,947,99,224,189,1206,290,216,257,65,31,475.0,1206.0,99.0,257.0
03_Funk1-114-Ab_comp_00.npz,comp,307,114,351,39,34,88,360,32,298,60,5,67,307.0,360.0,39.0,60.0
05_Funk1-114-Ab_comp_02.npz,comp,559,162,88,98,38,23,566,155,81,98,38,23,559.0,566.0,98.0,98.0
04_BN3-154-E_solo_00.npz,solo,163,32,51,45,10,11,162,24,36,44,8,8,163.0,162.0,45.0,44.0
02_BN3-154-E_comp_01.npz,comp,586,160,187,146,48,43,648,98,125,165,29,24,586.0,648.0,146.0,165.0
00_Funk1-114-Ab_solo_00.npz,solo,365,10,15,66,3,2,365,10,15,66,3,2,365.0,365.0,66.0,66.0
03_Funk2-108-Eb_solo_03.npz,solo,205,49,68,42,5,8,220,28,53,44,3,6,205.0,220.0,42.0,44.0
03_Jazz1-130-D_solo_02.npz,solo,237,17,22,44,8,7,237,17,22,44,8,7,237.0,237.0,44.0,44.0
02_BN1-129-Eb_comp_01.npz,comp,437,114,291,90,22,57,468,83,260,98,14,49,437.0,468.0,90.0,98.0
04_Funk3-98-A_solo_03.npz,solo,273,57,71,39,12,12,293,32,51,43,7,8,273.0,293.0,39.0,43.0
