file,subset,frame_p,frame_r,frame_f1,note_p,note_r,note_f1,frame_F0_p,frame_F0_r,frame_F0_f1,note_F0_p,note_F0_r,note_F0_f1,frame_tdr,note_tdr,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn
01_Funk2-119-G_comp_03.npz,comp,0.3333333333333333,0.24102564102564103,0.27976190476190477,0.32786885245901637,0.24691358024691357,0.28169014084507044,0.6595744680851063,0.47692307692307695,0.5535714285714286,0.5409836065573771,0.4074074074074074,0.4647887323943662,0.5053763440860215,0.6060606060606061,94,188,296,20,41,61,186,96,204,33,28,48
03_Funk1-114-Ab_comp_02.npz,comp,0.7137681159420289,0.2855072463768116,0.4078674948240166,0.6896551724137931,0.3125,0.43010752688172044,0.7282608695652174,0.29130434782608694,0.4161490683229814,0.6896551724137931,0.3125,0.43010752688172044,0.9800995024875622,1.0,197,79,493,40,18,88,201,75,489,40,18,88
03_Rock1-130-A_solo_00.npz,solo,0.5478723404255319,0.7803030303030303,0.64375,0.5,0.7586206896551724,0.6027397260273972,0.6810810810810811,0.9545454545454546,0.7949526813880127,0.6585365853658537,0.9310344827586207,0.7714285714285715,0.8174603174603174,0.8148148148148148,103,85,29,22,22,7,126,59,6,27,14,2
01_Jazz1-200-B_comp_00.npz,comp,0.46402877697841727,0.27044025157232704,0.34172185430463575,0.4777777777777778,0.2925170068027211,0.3628691983122363,0.8293650793650794,0.4381551362683438,0.5733882030178327,0.8255813953488372,0.48299319727891155,0.6094420600858369,0.6172248803827751,0.6056338028169014,129,149,348,43,47,104,209,43,268,71,15,76
03_Funk2-108-Eb_comp_02.npz,comp,0.7435158501440923,0.671875,0.7058823529411765,0.7398373983739838,0.6594202898550725,0.6973180076628352,0.7824207492795389,0.70703125,0.7428180574555403,0.7886178861788617,0.7028985507246377,0.7432950191570882,0.9502762430939227,0.9381443298969072,516,178,252,91,32,47,543,151,225,97,26,41
01_Jazz1-200-B_solo_01.npz,solo,0.856353591160221,0.842391304347826,0.8493150684931506,0.8305084745762712,0.8032786885245902,0.8166666666666667,0.8757062146892656,0.842391304347826,0.8587257617728532,0.8305084745762712,0.8032786885245902,0.8166666666666667,1.0,1.0,155,26,29,49,10,12,155,22,29,49,10,12
02_BN1-147-Gb_comp_00.npz,comp,0.12162162162162163,0.04591836734693878,0.06666666666666667,0.0967741935483871,0.03296703296703297,0.04918032786885246,0.875,0.33035714285714285,0.47962962962962963,0.8064516129032258,0.27472527472527475,0.4098360655737705,0.138996138996139,0.12,36,260,748,6,56,176,259,37,525,50,12,132
02_Rock1-90-C#_comp_02.npz,comp,0.7711757269279393,0.5204778156996587,0.6214977075904228,0.8073394495412844,0.5269461077844312,0.6376811594202898,0.7711757269279393,0.5318221447253705,0.6295149638802889,0.8073394495412844,0.5365853658536586,0.6446886446886447,1.0,1.0,610,181,562,88,21,79,610,181,537,88,21,76
01_Funk2-119-G_solo_02.npz,solo,0.350253807106599,0.22186495176848875,0.27165354330708663,0.23809523809523808,0.16129032258064516,0.19230769230769232,0.8387096774193549,0.5016077170418006,0.6277665995975855,0.7,0.45161290322580644,0.5490196078431373,0.4423076923076923,0.35714285714285715,69,128,242,10,32,52,156,30,155,28,12,34
02_BN3-154-E_comp_03.npz,comp,0.7040229885057471,0.3337874659400545,0.45286506469500926,0.7096774193548387,0.3567567567567568,0.4748201438848921,0.8308605341246291,0.3814713896457766,0.5228758169934641,0.8172043010752689,0.41081081081081083,0.5467625899280576,0.875,0.868421052631579,245,103,489,66,27,119,280,57,454,76,17,109
