file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
00_Rock1-130-A_comp_00.npz,comp,1381,203,41,280,39,8,1381,203,41,280,39,8,1381.0,1381.0,280.0,280.0
03_Funk1-114-Ab_comp_00.npz,comp,425,46,233,76,4,51,425,46,233,76,4,51,425.0,425.0,76.0,76.0
05_Funk1-114-Ab_comp_02.npz,comp,571,67,76,104,13,17,571,67,76,104,13,17,571.0,571.0,104.0,104.0
04_BN3-154-E_solo_00.npz,solo,181,25,33,45,6,11,181,25,17,45,6,7,181.0,181.0,45.0,45.0
02_BN3-154-E_comp_01.npz,comp,729,94,44,180,28,9,729,94,44,180,28,9,729.0,729.0,180.0,180.0
00_Funk1-114-Ab_solo_00.npz,solo,363,23,17,67,5,1,364,14,16,67,3,1,363.0,364.0,67.0,67.0
03_Funk2-108-Eb_solo_03.npz,solo,237,30,36,45,3,5,237,30,36,45,3,5,237.0,237.0,45.0,45.0
03_Jazz1-130-D_solo_02.npz,solo,248,26,11,44,10,7,248,26,11,44,10,7,248.0,248.0,44.0,44.0
02_BN1-129-Eb_comp_01.npz,comp,606,52,122,125,19,22,607,51,121,132,12,15,606.0,607.0,125.0,132.0
04_Funk3-98-A_solo_03.npz,solo,295,33,49,43,8,8,295,33,49,43,8,8,295.0,295.0,43.0,43.0
03_Rock1-130-A_solo_02.npz,solo,258,7,15,55,1,3,258,7,15,55,1,3,258.0,258.0,55.0,55.0
01_Jazz1-200-B_comp_01.npz,comp,346,49,98,104,12,37,346,49,98,105,11,36,346.0,346.0,104.0,105.0
01_Funk2-119-G_comp_02.npz,comp,336,65,75,78,20,15,342,59,69,79,19,14,336.0,342.0,78.0,79.0
05_SS1-100-C#_comp_02.npz,comp,1099,181,86,171,35,14,1113,167,72,174,32,11,1099.0,1113.0,171.0,174.0
01_Rock1-130-A_solo_01.npz,solo,260,37,42,55,5,6,260,37,42,55,5,6,260.0,260.0,55.0,55.0
03_Rock3-117-Bb_solo_00.npz,solo,267,15,22,53,2,4,267,15,22,53,2,4,267.0,267.0,53.0,53.0
02_BN1-129-Eb_solo_02.npz,solo,230,40,17,52,9,2,230,40,17,52,9,2,230.0,230.0,52.0,52.0
02_BN3-154-E_comp_02.npz,comp,699,92,109,176,25,22,699,92,109,176,25,22,699.0,699.0,176.0,176.0
04_BN3-154-E_solo_03.npz,solo,175,34,4,43,12,1,175,34,4,43,12,1,175.0,175.0,43.0,43.0
05_SS1-68-E_solo_02.npz,solo,384,50,27,39,6,4,384,49,22,39,6,3,384.0,384.0,39.0,39.0
04_Rock1-130-A_comp_01.npz,comp,423,85,243,97,18,48,438,45,228,97,16,48,423.0,438.0,97.0,97.0
03_BN1-129-Eb_comp_00.npz,comp,676,44,24,139,7,4,676,44,24,139,7,4,676.0,676.0,139.0,139.0
00_BN1-129-Eb_solo_00.npz,solo,499,24,109,106,4,19,499,24,93,106,4,16,499.0,499.0,106.0,106.0
03_Jazz1-130-D_solo_01.npz,solo,211,29,18,41,9,3,212,28,17,41,9,3,211.0,212.0,41.0,41.0
05_BN3-154-E_comp_03.npz,comp,611,54,23,147,20,10,611,54,23,147,20,10,611.0,611.0,147.0,147.0
00_BN1-129-Eb_solo_01.npz,solo,307,35,130,61,12,31,307,35,130,61,12,31,307.0,307.0,61.0,61.0
01_BN3-119-G_solo_00.npz,solo,278,18,25,56,2,4,278,18,25,56,2,4,278.0,278.0,56.0,56.0
05_BN1-129-Eb_solo_01.npz,solo,214,4,5,45,2,0,214,4,5,45,2,0,214.0,214.0,45.0,45.0
01_BN3-119-G_solo_01.npz,solo,315,9,6,61,1,1,315,9,6,61,1,1,315.0,315.0,61.0,61.0
00_BN1-129-Eb_comp_02.npz,comp,551,74,102,115,20,21,551,74,102,115,20,21,551.0,551.0,115.0,115.0
02_BN3-154-E_solo_00.npz,solo,188,29,5,47,7,3,188,29,5,47,7,3,188.0,188.0,47.0,47.0
00_Rock1-130-A_solo_00.npz,solo,120,221,167,31,44,30,245,40,42,55,7,6,120.0,245.0,31.0,55.0
00_Jazz2-110-Bb_comp_01.npz,comp,852,211,189,148,33,34,852,211,189,148,33,34,852.0,852.0,148.0,148.0
01_BN3-154-E_solo_03.npz,solo,260,8,47,64,6,11,260,8,47,64,6,11,260.0,260.0,64.0,64.0
04_BN3-154-E_comp_03.npz,comp,119,303,270,32,88,59,119,303,270,32,88,59,119.0,119.0,32.0,32.0
03_Jazz3-137-Eb_comp_01.npz,comp,314,32,123,64,6,26,318,25,119,65,4,25,314.0,318.0,64.0,65.0
00_Rock1-130-A_solo_02.npz,solo,293,42,35,63,9,5,294,41,34,63,9,5,293.0,294.0,63.0,63.0
00_Jazz2-110-Bb_comp_03.npz,comp,1207,60,184,198,10,40,1212,54,179,198,9,40,1207.0,1212.0,198.0,198.0
03_Jazz3-137-Eb_solo_02.npz,solo,160,10,14,35,4,2,160,10,6,35,4,1,160.0,160.0,35.0,35.0
03_Funk2-108-Eb_solo_01.npz,solo,228,27,55,35,12,8,236,17,37,37,10,5,228.0,236.0,35.0,37.0
00_Funk1-114-Ab_solo_02.npz,solo,367,54,64,64,17,12,367,54,59,64,17,11,367.0,367.0,64.0,64.0
