file,subset,frame_tp,frame_fp,frame_fn,frameF0_tp,frameF0_fp,frameF0_fn,frame_tdr_num,frame_tdr_den,note_p,note_r,note_f1,noteF0_p,noteF0_r,noteF0_f1,note_tdr
03_BN1-129-Eb_comp_02.npz,comp,598,120,59,598,120,59,598.0,598.0,0.8012820512820513,0.9057971014492754,0.8503401360544217,0.8012820512820513,0.9057971014492754,0.8503401360544217,1.0
03_Rock1-130-A_comp_01.npz,comp,593,148,231,598,141,226,593.0,598.0,0.7657142857142857,0.7745664739884393,0.7701149425287356,0.7758620689655172,0.7803468208092486,0.7780979827089337,0.9925925925925926
05_Funk1-114-Ab_comp_01.npz,comp,385,68,79,385,68,79,385.0,385.0,0.8461538461538461,0.875,0.8603351955307262,0.8461538461538461,0.875,0.8603351955307262,1.0
05_SS1-68-E_comp_01.npz,comp,1350,244,73,1350,244,73,1350.0,1350.0,0.8114285714285714,0.9281045751633987,0.8658536585365854,0.8114285714285714,0.9281045751633987,0.8658536585365854,1.0
03_Funk2-108-Eb_comp_01.npz,comp,679,65,187,679,57,187,679.0,679.0,0.9349593495934959,0.7516339869281046,0.8333333333333334,0.9426229508196722,0.7516339869281046,0.8363636363636363,1.0
05_BN3-154-E_solo_02.npz,solo,117,42,10,117,38,10,117.0,117.0,0.6666666666666666,0.8387096774193549,0.7428571428571429,0.6666666666666666,0.8387096774193549,0.7428571428571429,1.0
01_Funk2-119-G_solo_00.npz,solo,218,16,28,218,16,28,218.0,218.0,0.9761904761904762,0.8541666666666666,0.9111111111111111,0.9761904761904762,0.8541666666666666,0.9111111111111111,1.0
01_BN1-129-Eb_solo_01.npz,solo,168,70,26,168,69,26,168.0,168.0,0.673469387755102,0.868421052631579,0.7586206896551724,0.6938775510204082,0.8947368421052632,0.7816091954022989,0.9705882352941176
01_Jazz1-200-B_solo_02.npz,solo,145,34,50,155,21,40,145.0,155.0,0.7903225806451613,0.765625,0.7777777777777778,0.8524590163934426,0.8125,0.832,0.9423076923076923
02_Rock1-90-C#_solo_00.npz,solo,401,10,25,401,10,25,401.0,401.0,0.9833333333333333,0.9672131147540983,0.9752066115702479,0.9833333333333333,0.9672131147540983,0.9752066115702479,1.0
02_BN3-154-E_comp_00.npz,comp,670,144,82,670,144,82,670.0,670.0,0.825,0.8967391304347826,0.859375,0.825,0.8967391304347826,0.859375,1.0
01_BN3-119-G_comp_01.npz,comp,452,77,78,452,77,78,452.0,452.0,0.89,0.89,0.89,0.89,0.89,0.89,1.0
01_BN3-154-E_solo_02.npz,solo,365,34,22,365,30,22,365.0,365.0,0.8979591836734694,0.946236559139785,0.9214659685863874,0.9072164948453608,0.946236559139785,0.9263157894736842,1.0
00_Rock1-130-A_solo_01.npz,solo,157,159,266,290,26,126,157.0,290.0,0.5,0.4,0.4444444444444444,0.8888888888888888,0.7191011235955056,0.7950310559006211,0.5625
01_BN1-129-Eb_comp_02.npz,comp,657,214,25,657,214,25,657.0,657.0,0.7555555555555555,0.9645390070921985,0.8473520249221184,0.7555555555555555,0.9645390070921985,0.8473520249221184,1.0
05_SS1-100-C#_solo_02.npz,solo,239,126,47,253,111,23,239.0,253.0,0.6545454545454545,0.8571428571428571,0.7422680412371134,0.6909090909090909,0.926829268292683,0.7916666666666666,0.9473684210526315
03_Funk1-114-Ab_comp_01.npz,comp,425,143,320,444,120,301,425.0,444.0,0.8076923076923077,0.6,0.6885245901639344,0.8461538461538461,0.6285714285714286,0.7213114754098361,0.9545454545454546
01_Rock1-130-A_comp_00.npz,comp,561,188,152,638,109,75,561.0,638.0,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.8562091503267973,0.891156462585034,0.8733333333333333,0.9083969465648855
01_Funk2-119-G_solo_03.npz,solo,183,24,20,183,24,20,183.0,183.0,0.7358490566037735,0.975,0.8387096774193549,0.7358490566037735,0.975,0.8387096774193549,1.0
02_BN3-154-E_solo_03.npz,solo,189,71,64,219,30,34,189.0,219.0,0.6417910447761194,0.7413793103448276,0.688,0.7230769230769231,0.8103448275862069,0.7642276422764228,0.9148936170212766
03_Rock3-117-Bb_solo_02.npz,solo,276,99,109,346,27,30,276.0,346.0,0.7466666666666667,0.7671232876712328,0.7567567567567568,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.8115942028985508
02_Rock1-90-C#_comp_00.npz,comp,670,139,89,700,109,59,670.0,700.0,0.847457627118644,0.9345794392523364,0.8888888888888888,0.8813559322033898,0.9719626168224299,0.9244444444444444,0.9615384615384616
05_Funk1-114-Ab_solo_00.npz,solo,138,25,15,138,25,15,138.0,138.0,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,1.0
05_SS1-100-C#_solo_00.npz,solo,194,124,3,194,124,3,194.0,194.0,0.6170212765957447,1.0,0.7631578947368421,0.6170212765957447,1.0,0.7631578947368421,1.0
04_SS1-68-E_solo_02.npz,solo,358,138,101,449,34,10,358.0,449.0,0.7068965517241379,0.7884615384615384,0.7454545454545455,0.9122807017543859,1.0,0.9541284403669725,0.7884615384615384
03_BN2-166-Ab_solo_01.npz,solo,149,16,10,149,16,10,149.0,149.0,0.8333333333333334,0.9523809523809523,0.8888888888888888,0.8333333333333334,0.9523809523809523,0.8888888888888888,1.0
01_Funk2-119-G_solo_01.npz,solo,182,20,19,182,20,19,182.0,182.0,0.8409090909090909,0.925,0.8809523809523809,0.8409090909090909,0.925,0.8809523809523809,1.0
01_Jazz3-150-C_comp_01.npz,comp,315,33,51,320,28,46,315.0,320.0,0.891566265060241,0.8314606741573034,0.8604651162790697,0.9036144578313253,0.8426966292134831,0.872093023255814,0.9866666666666667
03_Funk2-108-Eb_solo_02.npz,solo,193,61,86,225,29,47,193.0,225.0,0.6595744680851063,0.6739130434782609,0.6666666666666666,0.7872340425531915,0.8222222222222222,0.8043478260869565,0.8378378378378378
03_BN2-166-Ab_solo_02.npz,solo,164,18,14,164,18,14,164.0,164.0,0.8979591836734694,0.9166666666666666,0.9072164948453608,0.8979591836734694,0.9166666666666666,0.9072164948453608,1.0
03_Jazz1-130-D_comp_00.npz,comp,408,96,125,422,82,111,408.0,422.0,0.8910891089108911,0.8411214953271028,0.8653846153846154,0.8910891089108911,0.8411214953271028,0.8653846153846154,1.0
05_Funk1-114-Ab_solo_01.npz,solo,160,66,100,180,46,80,160.0,180.0,0.6666666666666666,0.6222222222222222,0.6436781609195402,0.7619047619047619,0.7111111111111111,0.735632183908046,0.875
05_SS1-100-C#_comp_00.npz,comp,1255,235,36,1255,235,36,1255.0,1255.0,0.8151260504201681,0.9797979797979798,0.8899082568807339,0.8151260504201681,0.9797979797979798,0.8899082568807339,1.0
02_BN1-129-Eb_comp_00.npz,comp,655,74,116,654,74,114,655.0,654.0,0.9076923076923077,0.7564102564102564,0.8251748251748252,0.9076923076923077,0.7612903225806451,0.8280701754385965,1.0
02_BN1-147-Gb_comp_01.npz,comp,167,463,564,511,119,220,167.0,511.0,0.25170068027210885,0.21637426900584794,0.23270440251572327,0.8027210884353742,0.6900584795321637,0.7421383647798742,0.3135593220338983
01_BN3-154-E_solo_01.npz,solo,248,23,23,248,16,23,248.0,248.0,0.9552238805970149,0.927536231884058,0.9411764705882353,0.9552238805970149,0.927536231884058,0.9411764705882353,1.0
03_Funk2-108-Eb_comp_00.npz,comp,632,92,83,632,92,83,632.0,632.0,0.9166666666666666,0.873015873015873,0.8943089430894309,0.9166666666666666,0.873015873015873,0.8943089430894309,1.0
03_Rock3-117-Bb_comp_01.npz,comp,629,122,218,672,79,175,629.0,672.0,0.8356164383561644,0.7439024390243902,0.7870967741935484,0.9041095890410958,0.8048780487804879,0.8516129032258064,0.9242424242424242
03_Funk1-114-Ab_solo_00.npz,solo,150,17,19,150,17,19,150.0,150.0,0.9375,0.9090909090909091,0.9230769230769231,0.9375,0.9090909090909091,0.9230769230769231,1.0
01_Funk2-119-G_comp_01.npz,comp,287,60,103,291,56,99,287.0,291.0,0.8636363636363636,0.6627906976744186,0.75,0.8636363636363636,0.6627906976744186,0.75,1.0
00_Funk1-114-Ab_comp_02.npz,comp,840,242,208,850,232,198,840.0,850.0,0.693069306930693,0.7526881720430108,0.7216494845360825,0.7029702970297029,0.7634408602150538,0.7319587628865979,0.9859154929577465
01_Rock1-130-A_comp_02.npz,comp,827,111,106,858,73,75,827.0,858.0,0.9381443298969072,0.9333333333333333,0.9357326478149101,0.9484536082474226,0.9435897435897436,0.9460154241645244,0.9891304347826086
04_Rock1-130-A_comp_00.npz,comp,25,378,480,366,16,139,25.0,366.0,0.13157894736842105,0.0970873786407767,0.11173184357541899,0.9571428571428572,0.6504854368932039,0.7745664739884393,0.14925373134328357
05_BN3-154-E_comp_02.npz,comp,443,129,121,443,129,121,443.0,443.0,0.7913669064748201,0.7971014492753623,0.7942238267148014,0.7913669064748201,0.7971014492753623,0.7942238267148014,1.0
03_Rock1-130-A_comp_02.npz,comp,869,243,185,875,237,170,869.0,875.0,0.7964601769911505,0.8256880733944955,0.8108108108108109,0.7964601769911505,0.8333333333333334,0.8144796380090498,1.0
03_Funk2-108-Eb_comp_03.npz,comp,799,80,199,800,79,198,799.0,800.0,0.8979591836734694,0.7674418604651163,0.8275862068965517,0.8979591836734694,0.7674418604651163,0.8275862068965517,1.0
03_Jazz1-130-D_comp_01.npz,comp,199,166,205,324,33,80,199.0,324.0,0.46835443037974683,0.4457831325301205,0.4567901234567901,0.8717948717948718,0.8192771084337349,0.84472049689441,0.5441176470588235
04_Funk3-98-A_solo_01.npz,solo,260,45,40,268,37,32,260.0,268.0,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.9130434782608695,0.8936170212765957,0.9032258064516129,0.9761904761904762
01_Jazz3-150-C_solo_02.npz,solo,220,22,20,220,22,20,220.0,220.0,0.8166666666666667,0.8596491228070176,0.8376068376068376,0.8166666666666667,0.8596491228070176,0.8376068376068376,1.0
05_BN3-154-E_comp_01.npz,comp,420,121,121,462,66,79,420.0,462.0,0.7714285714285715,0.7883211678832117,0.779783393501805,0.8489208633093526,0.8613138686131386,0.855072463768116,0.9152542372881356
00_Jazz2-110-Bb_solo_01.npz,solo,406,53,56,420,33,42,406.0,420.0,0.8589743589743589,0.8375,0.8481012658227848,0.9090909090909091,0.875,0.89171974522293,0.9571428571428572
01_Rock1-130-A_comp_01.npz,comp,665,116,102,677,98,90,665.0,677.0,0.8773006134969326,0.9050632911392406,0.8909657320872274,0.8888888888888888,0.9113924050632911,0.9,0.9930555555555556
00_Funk1-114-Ab_solo_01.npz,solo,309,20,44,318,11,35,309.0,318.0,0.9464285714285714,0.8412698412698413,0.8907563025210085,0.9642857142857143,0.8571428571428571,0.907563025210084,0.9814814814814815
03_BN2-166-Ab_comp_00.npz,comp,232,148,211,327,44,116,232.0,327.0,0.6213592233009708,0.5333333333333333,0.5739910313901345,0.8811881188118812,0.7416666666666667,0.8054298642533937,0.7191011235955056
03_BN2-166-Ab_comp_03.npz,comp,442,88,77,442,88,77,442.0,442.0,0.8435374149659864,0.8857142857142857,0.8641114982578397,0.8435374149659864,0.8857142857142857,0.8641114982578397,1.0
03_Jazz3-137-Eb_comp_00.npz,comp,450,22,32,453,19,29,450.0,453.0,0.9494949494949495,0.9215686274509803,0.9353233830845771,0.9494949494949495,0.9215686274509803,0.9353233830845771,1.0
03_Rock3-117-Bb_solo_01.npz,solo,425,25,28,425,25,21,425.0,425.0,0.95,0.8735632183908046,0.9101796407185628,0.95,0.8837209302325582,0.9156626506024096,1.0
02_BN1-147-Gb_solo_02.npz,solo,169,33,28,187,9,10,169.0,187.0,0.7169811320754716,0.8837209302325582,0.7916666666666666,0.82,0.9534883720930233,0.8817204301075269,0.926829268292683
02_BN1-129-Eb_comp_02.npz,comp,516,103,206,545,73,177,516.0,545.0,0.847457627118644,0.6666666666666666,0.746268656716418,0.8898305084745762,0.7,0.7835820895522388,0.9523809523809523
00_Jazz2-110-Bb_solo_02.npz,solo,399,48,64,413,7,50,399.0,413.0,0.8666666666666667,0.8125,0.8387096774193549,0.96,0.9,0.9290322580645162,0.9027777777777778
05_BN1-129-Eb_comp_00.npz,comp,518,76,169,550,44,137,518.0,550.0,0.8773584905660378,0.6888888888888889,0.7717842323651453,0.9150943396226415,0.7185185185185186,0.8049792531120332,0.9587628865979382
02_BN1-129-Eb_solo_00.npz,solo,225,6,1,225,6,1,225.0,225.0,0.9019607843137255,1.0,0.9484536082474226,0.9019607843137255,1.0,0.9484536082474226,1.0
00_Jazz2-110-Bb_solo_00.npz,solo,265,90,74,335,20,4,265.0,335.0,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.8032786885245902
01_BN3-154-E_comp_00.npz,comp,460,62,114,480,42,94,460.0,480.0,0.8394160583941606,0.8041958041958042,0.8214285714285714,0.8823529411764706,0.8391608391608392,0.8602150537634409,0.9583333333333334
02_BN1-147-Gb_comp_02.npz,comp,111,452,647,492,71,266,111.0,492.0,0.13333333333333333,0.0893854748603352,0.10702341137123746,0.8916666666666667,0.5977653631284916,0.7157190635451505,0.14953271028037382
02_Rock1-90-C#_comp_01.npz,comp,681,170,180,709,133,152,681.0,709.0,0.7751937984496124,0.8264462809917356,0.8,0.8046875,0.8512396694214877,0.8273092369477911,0.970873786407767
05_SS1-100-C#_comp_01.npz,comp,952,280,237,1000,230,189,952.0,1000.0,0.7754010695187166,0.7837837837837838,0.7795698924731183,0.8074866310160428,0.8162162162162162,0.8118279569892473,0.9602649006622517
00_BN1-129-Eb_solo_02.npz,solo,259,98,55,282,43,32,259.0,282.0,0.6901408450704225,0.765625,0.725925925925926,0.7647058823529411,0.8125,0.7878787878787878,0.9423076923076923
02_BN3-154-E_solo_01.npz,solo,177,47,34,195,26,16,177.0,195.0,0.7931034482758621,0.8518518518518519,0.8214285714285714,0.8771929824561403,0.9259259259259259,0.9009009009009009,0.92
04_BN3-154-E_solo_01.npz,solo,178,23,31,189,12,20,178.0,189.0,0.8490566037735849,0.8823529411764706,0.8653846153846154,0.8867924528301887,0.9215686274509803,0.9038461538461539,0.9574468085106383
04_SS1-68-E_solo_00.npz,solo,348,17,29,348,17,29,348.0,348.0,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.8888888888888888,0.9523809523809523,0.9195402298850575,1.0
00_Funk1-114-Ab_comp_00.npz,comp,826,263,125,826,263,125,826.0,826.0,0.7318181818181818,0.8846153846153846,0.8009950248756219,0.7318181818181818,0.8846153846153846,0.8009950248756219,1.0
03_BN2-166-Ab_comp_01.npz,comp,401,56,68,401,56,68,401.0,401.0,0.8625954198473282,0.8828125,0.8725868725868726,0.8625954198473282,0.8828125,0.8725868725868726,1.0
01_BN3-154-E_solo_00.npz,solo,196,15,9,196,15,9,196.0,196.0,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,1.0
05_SS1-68-E_comp_02.npz,comp,1369,273,74,1369,273,74,1369.0,1369.0,0.7931034482758621,0.8961038961038961,0.8414634146341463,0.7931034482758621,0.8961038961038961,0.8414634146341463,1.0
01_BN1-129-Eb_comp_01.npz,comp,646,183,27,646,183,27,646.0,646.0,0.7602339181286549,0.948905109489051,0.8441558441558441,0.7602339181286549,0.948905109489051,0.8441558441558441,1.0
04_Rock1-130-A_solo_02.npz,solo,254,40,36,254,40,36,254.0,254.0,0.8615384615384616,0.8888888888888888,0.875,0.8615384615384616,0.8888888888888888,0.875,1.0
00_BN1-129-Eb_comp_00.npz,comp,880,83,99,880,83,99,880.0,880.0,0.9282051282051282,0.8786407766990292,0.9027431421446384,0.9329896907216495,0.8786407766990292,0.905,1.0
05_BN3-154-E_solo_00.npz,solo,164,6,5,164,6,5,164.0,164.0,1.0,0.9534883720930233,0.9761904761904762,1.0,0.9534883720930233,0.9761904761904762,1.0
03_Rock3-117-Bb_comp_03.npz,comp,613,83,192,663,33,142,613.0,663.0,0.8759124087591241,0.7453416149068323,0.8053691275167785,0.9416058394160584,0.8012422360248447,0.8657718120805369,0.9302325581395349
03_Rock1-130-A_solo_01.npz,solo,233,22,14,233,22,14,233.0,233.0,0.9454545454545454,0.9629629629629629,0.9541284403669725,0.9454545454545454,0.9629629629629629,0.9541284403669725,1.0
02_BN3-154-E_solo_02.npz,solo,184,78,43,205,24,22,184.0,205.0,0.7142857142857143,0.8620689655172413,0.78125,0.8813559322033898,0.896551724137931,0.8888888888888888,0.9615384615384616
03_BN2-166-Ab_comp_02.npz,comp,353,77,110,370,57,93,353.0,370.0,0.8362068965517241,0.7886178861788617,0.8117154811715481,0.8695652173913043,0.8130081300813008,0.8403361344537815,0.97
03_BN2-166-Ab_solo_03.npz,solo,165,35,36,184,16,12,165.0,184.0,0.8181818181818182,0.8333333333333334,0.8256880733944955,0.9272727272727272,0.9622641509433962,0.9444444444444444,0.8823529411764706
04_Funk3-98-A_comp_03.npz,comp,699,166,185,730,135,154,699.0,730.0,0.8076923076923077,0.7894736842105263,0.7984790874524715,0.823076923076923,0.8045112781954887,0.8136882129277566,0.9813084112149533
02_BN1-129-Eb_solo_01.npz,solo,266,24,50,270,20,46,266.0,270.0,0.8709677419354839,0.8307692307692308,0.8503937007874016,0.8852459016393442,0.8307692307692308,0.8571428571428571,1.0
03_BN2-166-Ab_solo_00.npz,solo,137,5,13,139,3,11,137.0,139.0,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0
01_BN1-129-Eb_comp_00.npz,comp,439,152,17,439,152,17,439.0,439.0,0.7563025210084033,0.9782608695652174,0.8530805687203792,0.7563025210084033,0.9782608695652174,0.8530805687203792,1.0
04_Rock1-130-A_solo_00.npz,solo,112,15,80,109,14,62,112.0,109.0,0.8518518518518519,0.6216216216216216,0.71875,0.8461538461538461,0.6666666666666666,0.7457627118644068,1.0454545454545454
00_Rock1-130-A_comp_02.npz,comp,1209,164,323,1209,164,323,1209.0,1209.0,0.9064748201438849,0.7875,0.842809364548495,0.9064748201438849,0.7875,0.842809364548495,1.0
01_Rock1-130-A_solo_00.npz,solo,173,57,15,173,57,15,173.0,173.0,0.7708333333333334,0.9487179487179487,0.8505747126436781,0.7708333333333334,0.9487179487179487,0.8505747126436781,1.0
04_BN3-154-E_comp_01.npz,comp,119,304,362,119,301,362,119.0,119.0,0.29464285714285715,0.2796610169491525,0.28695652173913044,0.29464285714285715,0.2796610169491525,0.28695652173913044,1.0
01_Funk2-119-G_comp_00.npz,comp,288,92,107,303,74,92,288.0,303.0,0.8450704225352113,0.7142857142857143,0.7741935483870968,0.8732394366197183,0.7380952380952381,0.8,0.967741935483871
03_Rock1-130-A_comp_00.npz,comp,365,262,245,416,198,194,365.0,416.0,0.5211267605633803,0.5873015873015873,0.5522388059701493,0.65,0.7222222222222222,0.6842105263157895,0.8131868131868132
05_BN1-129-Eb_comp_01.npz,comp,570,99,164,578,91,156,570.0,578.0,0.7785234899328859,0.8226950354609929,0.8,0.7837837837837838,0.8226950354609929,0.8027681660899654,1.0
